DB: Audi | Q3 | 40 TFSI quattro -> 8500000
DB: Audi | Q4 35 e-tron | Q4 35 e-tron (Standard) -> 14500000
DB: Audi | Q4 35 e-tron | Q4 35 e-tron Sportback -> 15000000
DB: Audi | Q5 | 40 TFSI quattro -> 10476610
DB: Audi | Q5 | 45 TFSI quattro S-Line -> 12500000
DB: Audi | Q7 | 45 TDI quattro -> 5151200
DB: Audi | Q7 | 55 TFSI quattro -> 13225886
DB: Audi | A4 | 40 TFSI -> 7100072
DB: Audi | A4 | 40 TFSI quattro Premium Plus -> 9000000
DB: BMW | X1 | sDrive18i -> 18996000
DB: BMW | X1 | xDrive20i M Sport -> 22996000
DB: BMW | X3 | xDrive20d xLine -> 25996000
DB: BMW | X3 | xDrive30e M Sport (PHEV) -> 29996000
DB: BMW | X5 | xDrive30d Sport -> 34996000
DB: BMW | X5 | xDrive40i M Sport -> 39996000
DB: BMW | X5 | xDrive45e M Sport (PHEV) -> 49696000
DB: BMW | 3 Series | 320d Sport -> 19996000
DB: BMW | 3 Series | 330e M Sport (PHEV) -> 24996000
DB: BMW | 5 Series | 530i M Sport -> 23996000
DB: BMW | 5 Series | 530e M Sport (PHEV) -> 27996000
DB: BMW | iX3 | iX3 M Sport -> 22996000
DB: BMW | 7 Series | 730Ld DPE Signature -> 54996000
DB: BMW | 7 Series | 740Li DPE Signature -> 58996000
DB: BMW | 7 Series | 745Le xDrive PHEV -> 62596000
DB: Volkswagen | Polo | Trendline Plus -> 3340000
DB: Volkswagen | Polo | Comfortline -> 3840000
DB: Volkswagen | Polo | Highline 1.0L -> 4290000
DB: Volkswagen | Polo | Highline 1.6L -> 4790000
DB: Volkswagen | Taigun | Comfortline 1.0 TSI MT -> 5490000
DB: Volkswagen | Taigun | Highline 1.0 TSI AT -> 6790000
DB: Volkswagen | Taigun | Topline 1.0 TSI AT -> 7950000
DB: Volkswagen | Taigun | GT Plus 1.5 TSI DSG -> 9400000
DB: Volkswagen | Virtus | Comfortline 1.0 TSI MT -> 5600000
DB: Volkswagen | Virtus | Highline 1.0 TSI AT -> 7000000
DB: Volkswagen | Virtus | Topline 1.0 TSI AT -> 7800000
DB: Volkswagen | Virtus | GT Plus 1.5 TSI DSG -> 9100000
DB: Volkswagen | Tayron | R-Line 2.0 TSI 4MOTION -> 14000000
DB: Volkswagen | Tiguan Allspace | Comfortline 2.0 TSI -> 11500000
DB: Volkswagen | Tiguan Allspace | Highline 2.0 TSI 4Motion -> 14800000
DB: Volkswagen | Touareg | V6 TSI 4Motion -> 32500000
DB: Ford | Next-Gen Ranger | XL 2.0 ST (Single-Turbo) -> 10590000
DB: Ford | Next-Gen Ranger | XLT 2.0 BT (Bi-Turbo) -> 12500000
DB: Ford | Next-Gen Ranger | Wildtrak 2.0 BT -> 14500000
DB: Ford | Next-Gen Everest | Titanium 2.0 Bi-Turbo 4WD -> 24000000
DB: Ford | Next-Gen Ranger Raptor | Raptor 3.0L V6 Bi-Turbo EcoBoost -> 22900000
DB: Renault | Kwid | RXE 0.8L MT -> 2679000
DB: Renault | Kwid | RXT 1.0L MT -> 2749000
DB: Renault | Kwid | RXT 1.0L AMT -> 2849000
DB: Renault | Triber | RXE MT -> 2999000
DB: Renault | Triber | RXT MT -> 3299000
